add-s,4,100000,800000,100228971,125,0
add-s,8,10,160,373984,2337,0
add-s,8,20,320,368886,1152,0
add-s,8,40,640,297890,465,0
add-s,8,80,1280,358177,279,0
add-s,8,100,1600,321276,200,0
add-s,8,1000,16000,4177712,261,0
add-s,8,10000,160000,47790701,298,0
add-s,8,100000,1600000,440787311,275,0
add-s,12,10,240,521808,2174,0
add-s,12,20,480,489416,1019,0
add-s,12,40,960,471844,491,0
add-s,12,80,1920,473435,246,0
add-s,12,100,2400,435590,181,0
add-s,12,1000,24000,7288162,303,0
add-s,12,10000,240000,94528453,393,0
add-s,12,100000,2400000,1040011588,433,0
add-c,1,10,20,158115,7905,0
add-c,1,20,40,140763,3519,0
add-c,1,40,80,153124,1914,0
add-c,1,80,160,141424,883,0
add-c,1,100,200,139354,696,0
add-c,1,1000,2000,185421,92,0
add-c,1,10000,20000,591201,29,0
add-c,1,100000,200000,4174488,20,0
add-c,2,10,40,152029,3800,0
add-c,2,20,80,150195,1877,0
add-c,2,40,160,156893,980,0
add-c,2,80,320,158876,496,0
add-c,2,100,400,165291,413,0
add-c,2,1000,4000,315714,78,0
add-c,2,10000,40000,2374085,59,0
add-c,2,100000,400000,19056380,47,0
add-c,4,10,80,205067,2563,0
add-c,4,20,160,205711,1285,0
add-c,4,40,320,168661,527,0
add-c,4,80,640,215469,336,0
add-c,4,100,800,193946,242,0
add-c,4,1000,8000,844957,105,0
add-c,4,10000,80000,9575467,119,0
add-c,4,100000,800000,77207578,96,0
add-c,8,10,160,363133,2269,0
add-c,8,20,320,324456,1013,0
add-c,8,40,640,352029,550,0
add-c,8,80,1280,367474,287,0
add-c,8,100,1600,320949,200,0
add-c,8,1000,16000,2230968,139,0
add-c,8,10000,160000,23782614,148,0
add-c,8,100000,1600000,249924471,156,0
add-c,12,10,240,475885,1982,0
add-c,12,20,480,500811,1043,0
add-c,12,40,960,490195,510,0
add-c,12,80,1920,440953,229,0
add-c,12,100,2400,496842,207,0
add-c,12,1000,24000,3875234,161,0
add-c,12,10000,240000,42641361,177,0
add-c,12,100000,2400000,421482027,175,0
add-yield-m,1,10,20,157055,7852,0
add-yield-m,1,20,40,147418,3685,0
add-yield-m,1,40,80,260704,3258,0
add-yield-m,1,80,160,256386,1602,0
add-yield-m,1,100,200,278590,1392,0
add-yield-m,1,1000,2000,1835091,917,0
add-yield-m,1,10000,20000,17531037,876,0
add-yield-m,1,100000,200000,175639428,878,0
add-yield-m,2,10,40,167173,4179,0
add-yield-m,2,20,80,255457,3193,0
add-yield-m,2,40,160,308103,1925,0
add-yield-m,2,80,320,562653,1758,0
add-yield-m,2,100,400,737986,1844,0
add-yield-m,2,1000,4000,6010451,1502,0
add-yield-m,2,10000,40000,62616053,1565,0
add-yield-m,2,100000,400000,625518254,1563,0
add-yield-m,4,10,80,300629,3757,0
add-yield-m,4,20,160,378185,2363,0
add-yield-m,4,40,320,658610,2058,0
add-yield-m,4,80,640,1266991,1979,0
add-yield-m,4,100,800,1478765,1848,0
add-yield-m,4,1000,8000,14056655,1757,0
add-yield-m,4,10000,80000,136720024,1709,0
add-yield-m,4,100000,800000,1288765357,1610,0
add-yield-m,8,10,160,479548,2997,0
add-yield-m,8,20,320,775485,2423,0
add-yield-m,8,40,640,1379442,2155,0
add-yield-m,8,80,1280,2440606,1906,0
add-yield-m,8,100,1600,2950543,1844,0
add-yield-m,8,1000,16000,27908031,1744,0
add-yield-m,8,10000,160000,271786073,1698,0
add-yield-m,8,100000,1600000,2697988282,1686,0
add-yield-m,12,10,240,713884,2974,0
add-yield-m,12,20,480,1040235,2167,0
add-yield-m,12,40,960,2027924,2112,0
add-yield-m,12,80,1920,3706642,1930,0
add-yield-m,12,100,2400,4727099,1969,0
add-yield-m,12,1000,24000,43583995,1815,0
add-yield-m,12,10000,240000,439070264,1829,0
add-yield-m,12,100000,2400000,4461040059,1858,0
add-yield-s,1,10,20,183737,9186,0
add-yield-s,1,20,40,166690,4167,0
add-yield-s,1,40,80,188612,2357,0
add-yield-s,1,80,160,276357,1727,0
add-yield-s,1,100,200,293039,1465,0
add-yield-s,1,1000,2000,1798599,899,0
add-yield-s,1,10000,20000,16854978,842,0
add-yield-s,1,100000,200000,178316212,891,0
add-yield-s,2,10,40,185153,4628,0
add-yield-s,2,20,80,242026,3025,0
add-yield-s,2,40,160,322763,2017,0
add-yield-s,2,80,320,442039,1381,0
add-yield-s,2,100,400,516856,1292,0
add-yield-s,2,1000,4000,3819815,954,0
add-yield-s,2,10000,40000,36107513,902,0
add-yield-s,2,100000,400000,370401594,926,0
add-yield-s,4,10,80,223290,2791,0
add-yield-s,4,20,160,285952,1787,0
add-yield-s,4,40,320,485287,1516,0
add-yield-s,4,80,640,775737,1212,0
add-yield-s,4,100,800,934934,1168,0
add-yield-s,4,1000,8000,8270024,1033,0
add-yield-s,4,10000,80000,80150332,1001,0
add-yield-s,4,100000,800000,773174540,966,0
add-yield-s,8,10,160,357267,2232,0
add-yield-s,8,20,320,526551,1645,0
add-yield-s,8,40,640,976279,1525,0
add-yield-s,8,80,1280,1652627,1291,0
add-yield-s,8,100,1600,2040759,1275,0
add-yield-s,8,1000,16000,18212664,1138,0
add-yield-s,8,10000,160000,195287988,1220,0
add-yield-s,8,100000,1600000,1936666925,1210,0
add-yield-s,12,10,240,500691,2086,0
add-yield-s,12,20,480,730142,1521,0
add-yield-s,12,40,960,1412238,1471,0
add-yield-s,12,80,1920,2680543,1396,0
add-yield-s,12,100,2400,3166827,1319,0
add-yield-s,12,1000,24000,32823516,1367,0
add-yield-s,12,10000,240000,312783086,1303,0
add-yield-s,12,100000,2400000,3055394113,1273,0
add-yield-c,1,10,20,180281,9014,0
add-yield-c,1,20,40,187360,4684,0
add-yield-c,1,40,80,233330,2916,0
add-yield-c,1,80,160,293699,1835,0
add-yield-c,1,100,200,307946,1539,0
add-yield-c,1,1000,2000,1887763,943,0
add-yield-c,1,10000,20000,17380255,869,0
add-yield-c,1,100000,200000,158782666,793,0
add-yield-c,2,10,40,174437,4360,0
add-yield-c,2,20,80,192466,2405,0
add-yield-c,2,40,160,259888,1624,0
add-yield-c,2,80,320,377245,1178,0
add-yield-c,2,100,400,481435,1203,0
add-yield-c,2,1000,4000,3502173,875,0
add-yield-c,2,10000,40000,34293446,857,0
add-yield-c,2,100000,400000,364922323,912,0
add-yield-c,4,10,80,233729,2921,0
add-yield-c,4,20,160,256721,1604,0
add-yield-c,4,40,320,434282,1357,0
add-yield-c,4,80,640,742224,1159,0
add-yield-c,4,100,800,819665,1024,0
add-yield-c,4,1000,8000,7650455,956,0
add-yield-c,4,10000,80000,75398005,942,0
add-yield-c,4,100000,800000,726019999,907,0
add-yield-c,8,10,160,422394,2639,0
add-yield-c,8,20,320,529582,1654,0
add-yield-c,8,40,640,958007,1496,0
add-yield-c,8,80,1280,1721588,1344,0
add-yield-c,8,100,1600,2199692,1374,0
add-yield-c,8,1000,16000,20668898,1291,0
add-yield-c,8,10000,160000,147776931,923,0
add-yield-c,8,100000,1600000,1539673262,962,0
add-yield-c,12,10,240,539598,2248,0
add-yield-c,12,20,480,709992,1479,0
add-yield-c,12,40,960,1239469,1291,0
add-yield-c,12,80,1920,2366952,1232,0
add-yield-c,12,100,2400,3004603,1251,0
add-yield-c,12,1000,24000,29082728,1211,0
add-yield-c,12,10000,240000,258787371,1078,0
add-yield-c,12,100000,2400000,2416397842,1006,0
